A Conundrum of Permissions: Installing Applications on an Android Smartphone.,https://doi.org/10.1007/978-3-642-34638-5_6,fcw,2012,,,
A Non-interactive Dual-channel Authentication Protocol for Assuring Pseudo-confidentiality.,http://internetsociety.org/doc/non-interactive-dual-channel-authentication-protocol-assuring-pseudo-confidentiality,ndss,2013,,,
A Refined Ethical Impact Assessment Tool and a Case Study of Its Application.,https://doi.org/10.1007/978-3-642-34638-5_10,fcw,2012,,,
A Scalable Implementation of Fully Homomorphic Encryption Built on NTRU.,https://doi.org/10.1007/978-3-662-44774-1_18,fcw,2014,,,
Accelerating SWHE Based PIRs Using GPUs.,https://doi.org/10.1007/978-3-662-48051-9_12,fcw,2015,,,
Assessing software integrity of virtual appliances through software whitelists.,http://internetsociety.org/doc/assessing-software-integrity-virtual-appliances-through-software-whitelists,ndss,2013,,,
AUTHSCAN: Automatic Extraction of Web Authentication Protocols from Implementations.,http://www.internetsociety.org/doc/authscan-automatic-extraction-web-authentication-protocols-implementations%E2%88%97,ndss,2013,,,
AVATAR: A Framework to Support Dynamic Security Analysis of Embedded Systems' Firmwares.,http://www.internetsociety.org/doc/avatar-framework-support-dynamic-security-analysis-embedded-systems%E2%80%99-firmwares,ndss,2014,,,
Awareness about Photos on the Web and How Privacy-Privacy-Tradeoffs Could Help.,https://doi.org/10.1007/978-3-642-41320-9_9,fcw,2013,,,
Bandwidth Efficient PIR from NTRU.,https://doi.org/10.1007/978-3-662-44774-1_16,fcw,2014,,,
Bootstrapping Trust in Online Dating: Social Verification of Online Dating Profiles.,https://doi.org/10.1007/978-3-642-41320-9_10,fcw,2013,,,
CallForFire: A Mission-Critical Cloud-Based Application Built Using the Nomad Framework.,https://doi.org/10.1007/978-3-662-53357-4_21,fcw,2016,,,
Can Nature Help Us Solve Risk Management Issues?,https://doi.org/10.1007/978-3-642-39884-1_1,fc,2013,,,
Coercion-Resistant Internet Voting with Everlasting Privacy.,https://doi.org/10.1007/978-3-662-53357-4_11,fcw,2016,,,
Combining Secret Sharing and Garbled Circuits for Efficient Private IEEE 754 Floating-Point Computations.,https://doi.org/10.1007/978-3-662-48051-9_13,fcw,2015,,,
"Comply or Die"" Is Dead: Long Live Security-Aware Principal Agents.""",https://doi.org/10.1007/978-3-642-41320-9_5,fcw,2013,,,
Cryptanalysis of a (Somewhat) Additively Homomorphic Encryption Scheme Used in PIR.,https://doi.org/10.1007/978-3-662-48051-9_14,fcw,2015,,,
Cryptographic Currencies from a Tech-Policy Perspective: Policy Issues and Technical Directions.,https://doi.org/10.1007/978-3-662-48051-9_8,fcw,2015,,,
Cryptographic Rule-Based Trading - (Short Paper).,https://doi.org/10.1007/978-3-642-32946-3_6,fc,2012,,,
Cryptographic Solutions for Genomic Privacy.,https://doi.org/10.1007/978-3-662-53357-4_22,fcw,2016,,,
Design and Analysis of Shoulder Surfing Resistant PIN Based Authentication Mechanisms on Google Glass.,https://doi.org/10.1007/978-3-662-48051-9_21,fcw,2015,,,
Efficiency Comparison of Various Approaches in E-Voting Protocols.,https://doi.org/10.1007/978-3-662-53357-4_14,fcw,2016,,,
Efficiently Making Secure Two-Party Computation Fair.,https://doi.org/10.1007/978-3-662-54970-4_11,fc,2016,,,
Enabling Users to Self-manage Networks: Collaborative Anomaly Detection in Wireless Personal Area Networks.,https://doi.org/10.1007/978-3-642-34638-5_5,fcw,2012,,,
Ethical and Secure Data Sharing across Borders.,https://doi.org/10.1007/978-3-642-34638-5_13,fcw,2012,,,
EthIKS: Using Ethereum to Audit a CONIKS Key Transparency Log.,https://doi.org/10.1007/978-3-662-53357-4_7,fcw,2016,,,
Exploring Extrinsic Motivation for Better Security: A Usability Study of Scoring-Enhanced Device Pairing.,https://doi.org/10.1007/978-3-642-39884-1_6,fc,2013,,,
Garbled Circuits via Structured Encryption.,https://doi.org/10.1007/978-3-642-41320-9_12,fcw,2013,,,
General Chair's Message.,http://www.internetsociety.org/ndss-2013-general-chairs-message,ndss,2013,,,
Glass OTP: Secure and Convenient User Authentication on Google Glass.,https://doi.org/10.1007/978-3-662-48051-9_22,fcw,2015,,,
Hardening Persona - Improving Federated Web Login.,http://www.internetsociety.org/doc/hardening-persona-%E2%80%93-improving-federated-web-login,ndss,2014,,,
HEtest: A Homomorphic Encryption Testing Framework.,https://doi.org/10.1007/978-3-662-48051-9_16,fcw,2015,,,
Hiding Access Patterns in Range Queries Using Private Information Retrieval and ORAM.,https://doi.org/10.1007/978-3-662-53357-4_17,fcw,2016,,,
High Stakes: Designing a Privacy Preserving Registry.,https://doi.org/10.1007/978-3-642-34638-5_3,fcw,2012,,,
High-Speed Fully Homomorphic Encryption Over the Integers.,https://doi.org/10.1007/978-3-662-44774-1_14,fcw,2014,,,
Homomorphic Computation of Edit Distance.,https://doi.org/10.1007/978-3-662-48051-9_15,fcw,2015,,,
How Privacy Leaks From Bluetooth Mouse?,http://internetsociety.org/doc/how-privacy-leaks-bluetooth-mouse-0,ndss,2013,,,
How the Estonian Tax and Customs Board Evaluated a Tax Fraud Detection System Based on Secure Multi-party Computation.,https://doi.org/10.1007/978-3-662-47854-7_14,fc,2015,,,
"I Think, Therefore I Am: Usability and Security of Authentication Using Brainwaves.",https://doi.org/10.1007/978-3-642-41320-9_1,fcw,2013,,,
Information Security as a Credence Good.,https://doi.org/10.1007/978-3-642-41320-9_6,fcw,2013,,,
It's Not Stealing If You Need It: A Panel on the Ethics of Performing Research Using Public Data of Illicit Origin.,https://doi.org/10.1007/978-3-642-34638-5_11,fcw,2012,,,
Keynote: On Subverting Trust.,http://www.internetsociety.org/doc/ndss-2016-keynote-subverting-trust,ndss,2016,,,
Linguistic Properties of Multi-word Passphrases.,https://doi.org/10.1007/978-3-642-34638-5_1,fcw,2012,,,
Macroeconomic Analysis of Malware.,http://internetsociety.org/doc/macroeconomic-analysis-malware-0,ndss,2013,,,
Memory-Efficient Garbled Circuit Generation for Mobile Devices.,https://doi.org/10.1007/978-3-642-32946-3_19,fc,2012,,,
Methodology for a Field Study of Anti-malware Software.,https://doi.org/10.1007/978-3-642-34638-5_7,fcw,2012,,,
Metrics for Automated Network Security Design.,http://internetsociety.org/doc/metrics-automated-network-security-design,ndss,2013,,,
MoCFI: A Framework to Mitigate Control-Flow Attacks on Smartphones.,http://www.internetsociety.org/mocfi-framework-mitigate-control-flow-attacks-smartphones#overlay-context=mocfi-framework-mitigate-control-flow-attacks-smartphones,ndss,2012,,,
My Privacy Policy: Exploring End-user Specification of Free-form Location Access Rules.,https://doi.org/10.1007/978-3-642-34638-5_8,fcw,2012,,,
ObliviStore: High Performance Oblivious Distributed Cloud Data Store.,http://internetsociety.org/doc/oblivistore-high-performance-oblivious-distributed-cloud-data-store-0,ndss,2013,,,
OIRS: Outsourced Image Recovery Service From Comprehensive Sensing With Privacy Assurance.,http://internetsociety.org/doc/oirs-outsourced-image-recovery-service-comprehensive-sensing-privacy,ndss,2013,,,
"Ok Glass, Leave Me Alone: Towards a Systematization of Privacy Enhancing Technologies for Wearable Computing.",https://doi.org/10.1007/978-3-662-48051-9_20,fcw,2015,,,
On the (In)Security of Mobile Two-Factor Authentication.,https://doi.org/10.1007/978-3-662-45472-5_24,fc,2014,,,
On the Minimal Number of Bootstrappings in Homomorphic Circuits.,https://doi.org/10.1007/978-3-642-41320-9_13,fcw,2013,,,
On the Possibility of Non-interactive E-Voting in the Public-Key Setting.,https://doi.org/10.1007/978-3-662-53357-4_13,fcw,2016,,,
On Vulnerabilities of the Security Association in the IEEE 802.15.6 Standard.,https://doi.org/10.1007/978-3-662-48051-9_18,fcw,2015,,,
On-the-fly Homomorphic Batching/Unbatching.,https://doi.org/10.1007/978-3-662-53357-4_19,fcw,2016,,,
Optimizing MPC for Robust and Scalable Integer and Floating-Point Arithmetic.,https://doi.org/10.1007/978-3-662-53357-4_18,fcw,2016,,,
Parallel Homomorphic Encryption.,https://doi.org/10.1007/978-3-642-41320-9_15,fcw,2013,,,
Practical and Privacy-Preserving Policy Compliance for Outsourced Data.,https://doi.org/10.1007/978-3-662-44774-1_15,fcw,2014,,,
Practical Timing Side Channel Attacks Against Kernel Space ASLR.,http://internetsociety.org/doc/practical-timing-side-channel-attacks-against-kernel-space-aslr-0,ndss,2013,,,
Predicting Users' Motivations behind Location Check-Ins and Utility Implications of Privacy Protection Mechanisms.,https://doi.org/10.14722/ndss.2015.23032,ndss,2015,,,
Privacy Preserving Data Processing with Collaboration of Homomorphic Cryptosystems.,https://doi.org/10.1007/978-3-642-41320-9_14,fcw,2013,,,
Privacy-Enhancing Technologies for Medical Tests Using Genomic Data.,http://internetsociety.org/doc/privacy-enhancing-technologies-medical-tests-using-genomic-data-0,ndss,2013,,,
Program Chair's Message.,http://www.internetsociety.org/ndss-2013-program-chairs-message,ndss,2013,,,
Protected Login.,https://doi.org/10.1007/978-3-642-34638-5_4,fcw,2012,,,
QRishing: The Susceptibility of Smartphone Users to QR Code Phishing Attacks.,https://doi.org/10.1007/978-3-642-41320-9_4,fcw,2013,,,
"Remote Electronic Voting Can Be Efficient, Verifiable and Coercion-Resistant.",https://doi.org/10.1007/978-3-662-53357-4_15,fcw,2016,,,
Restructuring the NSA Metadata Program.,https://doi.org/10.1007/978-3-662-44774-1_19,fcw,2014,,,
Search-and-Compute on Encrypted Data.,https://doi.org/10.1007/978-3-662-48051-9_11,fcw,2015,,,
Security Audits Revisited.,https://doi.org/10.1007/978-3-642-32946-3_11,fc,2012,,,
Selene: Voting with Transparent Verifiability and Coercion-Mitigation.,https://doi.org/10.1007/978-3-662-53357-4_12,fcw,2016,,,
Seven Months' Worth of Mistakes: A Longitudinal Study of Typosquatting Abuse.,http://www.internetsociety.org/doc/seven-months%E2%80%99-worth-mistakes-longitudinal-study-typosquatting-abuse,ndss,2015,,,
SHADE: Secure HAmming DistancE Computation from Oblivious Transfer.,https://doi.org/10.1007/978-3-642-41320-9_11,fcw,2013,,,
"Sorry, I Don't Get It: An Analysis of Warning Message Texts.",https://doi.org/10.1007/978-3-642-41320-9_7,fcw,2013,,,
Soulmate or Acquaintance? Visualizing Tie Strength for Trust Inference.,https://doi.org/10.1007/978-3-642-41320-9_8,fcw,2013,,,
Spamming for Science: Active Measurement in Web 2.0 Abuse Research.,https://doi.org/10.1007/978-3-642-34638-5_9,fcw,2012,,,
Stark - Tamperproof Authentication to Resist Keylogging.,https://doi.org/10.1007/978-3-642-39884-1_25,fc,2013,,,
Targeting FPGA DSP Slices for a Large Integer Multiplier for Integer Based FHE.,https://doi.org/10.1007/978-3-642-41320-9_16,fcw,2013,,,
The Impact of Length and Mathematical Operators on the Usability and Security of System-Assigned One-Time PINs.,https://doi.org/10.1007/978-3-642-41320-9_3,fcw,2013,,,
The Importance of Being Earnest [In Security Warnings].,https://doi.org/10.1007/978-3-642-39884-1_5,fc,2013,,,
"The PACE|AA Protocol for Machine Readable Travel Documents, and Its Security.",https://doi.org/10.1007/978-3-642-32946-3_25,fc,2012,,,
Toward Practical Homomorphic Evaluation of Block Ciphers Using Prince.,https://doi.org/10.1007/978-3-662-44774-1_17,fcw,2014,,,
TransBlocker: Transforming and Taming Privacy-Breaching Android Applications.,http://internetsociety.org/doc/transblocker-transforming-and-taming-privacy-breaching-android-applications,ndss,2013,,,
Understanding the Weaknesses of Human-Protocol Interaction.,https://doi.org/10.1007/978-3-642-34638-5_2,fcw,2012,,,
Universal Cast-as-Intended Verifiability.,https://doi.org/10.1007/978-3-662-53357-4_16,fcw,2016,,,
Usability and Security of Gaze-Based Graphical Grid Passwords.,https://doi.org/10.1007/978-3-642-41320-9_2,fcw,2013,,,
"Users' Privacy Concerns About Wearables - Impact of Form Factor, Sensors and Type of Data Collected.",https://doi.org/10.1007/978-3-662-48051-9_17,fcw,2015,,,
Using Intel Software Guard Extensions for Efficient Two-Party Secure Function Evaluation.,https://doi.org/10.1007/978-3-662-53357-4_20,fcw,2016,,,
Visual Cryptography and Obfuscation: A Use-Case for Decrypting and Deobfuscating Information Using Augmented Reality.,https://doi.org/10.1007/978-3-662-48051-9_19,fcw,2015,,,
VTint: Protecting Virtual Function Tables' Integrity.,http://www.internetsociety.org/doc/vtint-protecting-virtual-function-tables%E2%80%99-integrity,ndss,2015,,,
What's in Your Dongle and Bank Account? Mandatory and Discretionary Protection of Android External Resources.,http://www.internetsociety.org/doc/what%E2%80%99s-your-dongle-and-bank-account-mandatory-and-discretionary-protection-android-external,ndss,2015,,,
"You Can Run, but You Can't Hide: Exposing Network Location for Targeted DoS Attacks in Cellular Networks.",http://www.internetsociety.org/you-can-run-you-can%E2%80%99t-hide-exposing-network-location-targeted-dos-attacks-cellular-networks,ndss,2012,,,
